phot,bg,filenumber,frame,numberInGroup,x,y,z,locprec,locprecz
3159.161,81.91027,1,237,1,497.5575,279.4707,-192.0546,9.629799,31.55081
2134.32,88.07864,1,241,1,558.2227,257.1077,-57.30445,11.79292,42.70663
2711.416,103.4046,1,247,1,685.5321,291.3857,-67.18936,10.2399,37.06851
14683.68,323.4998,1,278,3,471.0016,263.8298,-176.4238,4.217564,14.05209
4174.646,86.71024,1,342,1,365.4494,270.446,8.283126,7.11507,23.19252
2101.069,78.745,1,391,1,360.9574,190.5485,-76.71294,11.54121,42.38602
15118.62,369.0572,1,400,5,347.8817,259.5012,-158.4895,4.147356,14.02843
6450.848,153.6557,1,482,1,518.972,233.7222,-56.47205,5.797405,20.14948
11685.16,291.7413,1,563,2,439.3821,189.9458,-215.3874,5.149895,16.71188
4562.643,169.1371,1,564,1,354.8872,119.8872,-15.35487,7.863352,27.57478
4635.496,152.3008,1,571,1,470.0498,209.4067,-84.20959,7.508005,27.41098
8701.438,291.5364,1,627,2,390.9011,282.3441,-138.3852,5.720035,20.3429
16493.89,464.1559,1,734,4,609.9077,273.766,-142.1924,3.976868,13.63976
2899.368,127.7091,1,731,1,613.8392,269.2031,-97.39261,10.42225,38.94764
3510.284,119.2169,1,736,1,633.3904,267.0004,-180.2624,9.610482,32.47986
18819.29,431.5417,1,745,4,472.0067,236.4286,-106.4156,3.409794,11.70696
6574.569,269.6946,1,797,2,376.1493,233.8685,-132.6615,6.99968,24.90426
3159.448,131.6279,1,796,1,339.7159,345.2712,-208.2623,11.38344,38.30005
5307.134,284.2029,1,883,2,552.5123,303.4368,-70.21681,8.173545,30.53329
2923.447,122.9143,1,882,1,566.1477,291.4916,-62.03594,10.16092,36.9776
19927.08,495.0023,1,960,4,412.9049,186.3653,-162.3021,3.61193,12.12284
5083.437,151.9634,1,1061,1,294.6606,326.4369,-51.58775,6.952647,24.43707
51620.56,789.6808,1,1123,7,501.8398,240.1133,-119.8029,1.880389,6.249284
8763.719,264.3304,1,1125,2,664.263,229.3011,-41.68778,5.296326,18.62357
11224.29,291.7003,1,1131,2,476.2487,256.3133,-119.112,4.690092,16.2974
3482.543,113.7194,1,1136,1,427.8141,220.8894,-93.0962,8.716375,31.58989
4371.094,100.8032,1,1140,1,391.8442,186.7033,-172.9563,7.658772,25.45358
3305.993,96.18154,1,1142,1,453.0935,93.27694,-163.1627,9.253112,31.54972
87935.95,1040.559,1,1162,10,334.7723,222.3233,-150.6376,1.439773,4.576318
6147.923,211.1788,1,1185,2,334.6393,314.0851,-139.5328,6.87318,24.60879
23004.64,515.4697,1,1222,5,537.2429,227.1179,-95.45477,3.065579,10.70287
2571.865,106.4481,1,1233,1,337.2107,314.8554,-227.998,13.07114,43.54215
2101.686,85.49699,1,1294,1,730.3546,211.7224,-98.483,12.00067,44.44994
8888.793,288.0535,1,1355,3,365.787,186.1835,-95.26572,5.321215,19.10177
10644.62,181.7022,1,1373,2,341.9269,316.3299,-147.1382,4.298018,14.02794
3024.259,73.96056,1,1374,1,441.9449,267.6823,-82.89821,8.633286,30.48708
3146.28,103.2223,1,1385,1,510.9172,209.6764,-70.9698,9.050198,32.8313
10601.26,347.5374,1,1415,3,435.0416,199.3977,-95.24832,4.965254,17.91509
90949.16,1655.089,1,1446,15,509.0703,241.3935,-157.3613,1.553521,5.017006
2732.75,108.2888,1,1433,1,523.3043,276.6388,-203.0304,11.95587,40.00606
5011.323,251.5696,1,1465,2,608.4182,254.3489,-24.9198,8.168005,29.66344
7661.45,233.4053,1,1577,2,537.3062,158.4064,-82.27986,5.72049,20.52769
4073.79,90.74077,1,1576,1,539.9653,156.6924,-127.2361,7.469248,26.10308
32342.03,555.5255,1,1610,5,510.6936,218.3632,-97.76382,2.463609,8.054339
3098.776,112.7042,1,1604,1,538.6549,218.0093,-16.59755,9.440289,33.27123
8551.745,117.0479,1,1607,1,471.3864,252.5829,-178.9703,4.938784,15.56252
5223.492,174.0048,1,1657,2,240.2331,94.91521,-156.858,7.575119,26.48468
3057.185,100.1099,1,1674,1,368.6422,210.621,-194.0945,10.46264,34.84845
3135.822,92.13032,1,1700,1,567.4308,226.0857,-145.9111,9.308742,32.74026
